Internet_Users;GDP_Per_Capita;Electricity_Access;Electricity_Access_Rural;Electricity_Access_Urban;Broadband_Subscriptions;Life_Expectancy;Sec_Edu_Duration;Literacy_Female;Literacy_Male;Literacy_Total;Pop_0_14;Pop_15_64;Pop_65_Above;Pop_Female;Pop_Male;Pop_Total;Pop_Rural;Pop_Urban;clusters
0.4817055676904963;-0.2735171498670772;0.6316716093147987;0.6675609688043282;0.518124731888902;-0.27325861960718706;0.6442468101093685;0.6964170882424454;0.0;0.0;-1,40E+01;0.29447157465907803;-0.07237210608621175;-0.42254761380934225;-0.3049364565016456;0.30493645650164564;-0.2928152116263999;-0.7890563082499983;0.7890563082499982;3
0.6577020513438948;-0.21240457504672985;0.6395579169797497;0.6675609688043282;0.518124731888902;-0.19610976226783625;0.7435836911290085;0.6964170882424454;0.0;0.0;-1,40E+01;0.28710097123336825;-0.08773992611535546;-0.39408070870301554;-0.29972196804655976;0.2997219680465598;-0.292152889176098;-0.8124606669936998;0.8124606669937001;3
-109.540.582.497.746;-0.5704301795721877;-20.417.866.891.035.300;4,43E+00;-2.977.307.641.162.680;-0.9547402432024645;-15.138.205.106.590.300;-0.45799446329325877;-19.682.582.701.694.700;-0.6709137528362039;-15.126.683.037.133.100;16.875.822.949.153.300;-18.111.385.566.035.900;-0.9673739509860949;0.24793717604117035;-0.24793717604117038;-0.30908947720559565;-0.26096970098017797;0.26096970098017797;1
-10.729.933.004.895.200;-0.6101555976627309;-16.474.713.058.559.900;-2.306.625.356.296.190;-2.049.948.031.985.730;-0.937922660724507;-14.325.809.071.655.700;-0.45799446329325877;-20.550.447.751.803.400;-0.20896948670623483;-14.894.649.362.512.800;16.922.962.607.014.800;-18.167.036.820.722.900;-0.9695491627682937;0.24358439367407456;-0.24358439367407458;-0.3081675675177568;-0.2937174827839871;0.2937174827839871;1
-0.8269721754847762;-0.5997479983765889;-1.517.347.229.384.300;-21.976.237.632.296.800;-19.572.120.710.680.400;-0.9526984680485745;-1.235.888.598.870.040;-0.45799446329325877;0.0;0.0;-1,40E+01;16.847.934.742.855.100;-1.804.799.577.753.070;-0.9692598224816054;0.23065486662092968;-0.2306548666209297;-0.3052647395840813;-0.38843414400115894;0.3884341440011586;2
-0.46519811116528986;-0.5734139004893024;-13.911.663.067.450.900;4,43E+00;-1.179.656.706.450.440;-0.9499274604659671;-12.642.894.358.636.800;-0.45799446329325877;-12.006.082.250.229.600;-0.3280770382261809;-0.8830580810846521;16.420.174.112.357.600;-17.480.395.987.330.100;-0.9560406499110191;0.21699908400953277;-0.21699908400953283;-0.30125369470452007;-0.5060055508408491;0.5060055508408493;2
0.19225819953490647;0.08609083373554281;0.6395579169797497;0.6893612874176306;0.518124731888902;0.15386885095408315;0.7727771096201509;-1.612.406.014.828.960;0.0;0.0;-1,40E+01;-0.5110993549790591;1.006.226.008.684.620;-0.18367923966902033;0.8913490359848253;-0.8913490359848255;-0.33412318257513957;14.430.599.801.537.000;-14.430.599.801.537.000;3
0.38204592453857145;0.057890131198635626;0.6395579169797497;0.6893612874176306;0.518124731888902;0.36489237617700915;0.8035556911062895;-1.612.406.014.828.960;0.0;0.0;-1,40E+01;-0.5624695765729767;10.609.233.131.443.500;-0.15378029847141023;0.8852534239913616;-0.8852534239913618;-0.33412243915103756;14.511.209.725.977.100;-14.511.209.725.977.100;3
0.5359848570415443;0.05396695188762628;0.6395579169797497;0.6893612874176306;0.518124731888902;-0.0627146933052224;0.8398823430749082;-1.612.406.014.828.960;0.0;0.0;-1,40E+01;-0.6074847665720018;11.017.014.971.183.800;-0.1201315372732102;0.8797033042578922;-0.8797033042578923;-0.3341217909665904;14.591.361.639.483.000;-14.591.361.639.483.000;3
0.614008699543051;0.022753801302727566;0.6395579169797497;0.6893612874176306;0.518124731888902;-0.1331037778406155;0.8471476734686307;-1.612.406.014.828.960;0.0;0.0;-1,40E+01;-0.6556087951960656;11.387.424.341.420.300;-0.0773341212609575;0.8747625354893951;-0.8747625354893952;-0.3341211954875833;1.467.151.355.298.880;-1.467.151.355.298.880;3
0.7194463245450872;0.03791862207881422;0.6395579169797497;0.6893612874176306;0.518124731888902;-0.20051238958643897;0.8787188364522664;-1.612.406.014.828.960;0.0;0.0;-1,40E+01;-0.7058187216592571;11.674.537.514.059.700;-0.02233520884084924;0.8703004333778305;-0.8703004333778306;-0.334120677679751;14.742.047.236.873.900;-1.474.204.723.687.390;3
0.8319131245472592;0.04013635781125647;0.6395579169797497;0.6893612874176306;0.518124731888902;-0.2266278368235735;0.8940420787372108;-1.612.406.014.828.960;0.0;0.0;-1,40E+01;-0.7484358788258655;11.807.593.600.956.600;0.03586879504219672;0.8660947392140426;-0.8660947392140427;-0.3341202162759862;1.480.296.269.113.840;-14.802.962.691.138.400;3
